"------------------------------------------------------------------","","",""
"Next steps: what is the experience of students from a care background in education?","","",""
"Supporting data table","","",""
"------------------------------------------------------------------","","",""
"Group variables: Response, Class (In care at ages 11 and under, In care between ages of 11 and 16, In care between ages of 17 and 18), Level (Yes/No)","","",""
"Statistics: Proportion of respondents","","",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK","","",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them","","",""
"Survey responses are weighted to represent the entire sample population.","","",""
"Percentages are rounded to the nearest whole number.","","",""
"------------------------------------------------------------------","","",""
"Question asked:","","",""
"Have you ever needed to change schools because your care placement changed?","","",""
"------------------------------------------------------------------","","",""
"------------------------------------------------------------------","","",""
"Response","Class","Class Level","Proportion of respondents"
"Yes ñ more than once","All","All","11%"
"Yes ñ once","All","All","19%"
"No","All","All","69%"
"Yes ñ more than once","In care when they were primary school age (11 and under)","No","7%"
"Yes ñ once","In care when they were primary school age (11 and under)","No","15%"
"No","In care when they were primary school age (11 and under)","No","77%"
"Yes ñ more than once","In care when they were primary school age (11 and under)","Yes","15%"
"Yes ñ once","In care when they were primary school age (11 and under)","Yes","23%"
"No","In care when they were primary school age (11 and under)","Yes","62%"
"Yes ñ more than once","In care when they were between the ages of 11 and 16","No","8%"
"Yes ñ once","In care when they were between the ages of 11 and 16","No","17%"
"No","In care when they were between the ages of 11 and 16","No","74%"
"Yes ñ more than once","In care when they were between the ages of 11 and 16","Yes","14%"
"Yes ñ once","In care when they were between the ages of 11 and 16","Yes","21%"
"No","In care when they were between the ages of 11 and 16","Yes","65%"
"Yes ñ more than once","In care when they were 17 and/or 18","No","7%"
"Yes ñ once","In care when they were 17 and/or 18","No","20%"
"No","In care when they were 17 and/or 18","No","73%"
"Yes ñ more than once","In care when they were 17 and/or 18","Yes","16%"
"Yes ñ once","In care when they were 17 and/or 18","Yes","19%"
"No","In care when they were 17 and/or 18","Yes","65%"
