"------------------------------------------------------------------","","","",""
"Next steps: what is the experience of students from a care background in education?","","","",""
"Supporting data table","","","",""
"------------------------------------------------------------------","","","",""
"Group variables: Row option, Response","","","",""
"Statistics: Proportion of respondents","","","",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK","","","",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them","","","",""
"Survey responses are weighted to represent the entire sample population.","","","",""
"Percentages are rounded to the nearest whole number.","","","",""
"------------------------------------------------------------------","","","",""
"Question asked:","","","",""
"How important are or were the following factors to you when choosing your first year accommodation? ","","","",""
"------------------------------------------------------------------","","","",""
"------------------------------------------------------------------","","","",""
"Row option","Response","Class","Class Level","Proportion of respondents"
" Guarantor requirement was waived","Important","All","All","26%"
" Guarantor requirement was waived","Neutral","All","All","24%"
" Guarantor requirement was waived","Not important","All","All","50%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Important","All","All","28%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Neutral","All","All","23%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Not important","All","All","49%"
" Overall cost","Important","All","All","76%"
" Overall cost","Neutral","All","All","15%"
" Overall cost","Not important","All","All","9%"
" Value for money","Important","All","All","77%"
" Value for money","Neutral","All","All","13%"
" Value for money","Not important","All","All","10%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Important","All","All","42%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Neutral","All","All","26%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Not important","All","All","33%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Important","All","All","73%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Neutral","All","All","19%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Not important","All","All","8%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Important","All","All","67%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Neutral","All","All","23%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Not important","All","All","10%"
" Facilities (e.g. WiFi, parking, gym)","Important","All","All","74%"
" Facilities (e.g. WiFi, parking, gym)","Neutral","All","All","18%"
" Facilities (e.g. WiFi, parking, gym)","Not important","All","All","8%"
" Bills included","Important","All","All","73%"
" Bills included","Neutral","All","All","16%"
" Bills included","Not important","All","All","10%"
" Social scene (e.g. events on-site)","Important","All","All","41%"
" Social scene (e.g. events on-site)","Neutral","All","All","32%"
" Social scene (e.g. events on-site)","Not important","All","All","28%"
" Studious atmosphere","Important","All","All","53%"
" Studious atmosphere","Neutral","All","All","29%"
" Studious atmosphere","Not important","All","All","18%"
" Access to outdoor space (e.g. garden, common areas)","Important","All","All","49%"
" Access to outdoor space (e.g. garden, common areas)","Neutral","All","All","32%"
" Access to outdoor space (e.g. garden, common areas)","Not important","All","All","19%"
" Option to live in the same property for more than one academic year","Important","All","All","33%"
" Option to live in the same property for more than one academic year","Neutral","All","All","26%"
" Option to live in the same property for more than one academic year","Not important","All","All","40%"
" Reviews of the accommodation","Important","All","All","56%"
" Reviews of the accommodation","Neutral","All","All","24%"
" Reviews of the accommodation","Not important","All","All","20%"
" Availability of a fully catered option","Important","All","All","20%"
" Availability of a fully catered option","Neutral","All","All","20%"
" Availability of a fully catered option","Not important","All","All","60%"
" Living with other first year students","Important","All","All","44%"
" Living with other first year students","Neutral","All","All","26%"
" Living with other first year students","Not important","All","All","30%"
" Guarantor requirement was waived","Important","In care when they were primary school age (11 and under)","No","34%"
" Guarantor requirement was waived","Neutral","In care when they were primary school age (11 and under)","No","21%"
" Guarantor requirement was waived","Not important","In care when they were primary school age (11 and under)","No","45%"
" Guarantor requirement was waived","Important","In care when they were primary school age (11 and under)","Yes","20%"
" Guarantor requirement was waived","Neutral","In care when they were primary school age (11 and under)","Yes","26%"
" Guarantor requirement was waived","Not important","In care when they were primary school age (11 and under)","Yes","54%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Important","In care when they were primary school age (11 and under)","No","34%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Neutral","In care when they were primary school age (11 and under)","No","21%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Not important","In care when they were primary school age (11 and under)","No","44%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Important","In care when they were primary school age (11 and under)","Yes","23%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Neutral","In care when they were primary school age (11 and under)","Yes","24%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Not important","In care when they were primary school age (11 and under)","Yes","53%"
" Overall cost","Important","In care when they were primary school age (11 and under)","No","77%"
" Overall cost","Neutral","In care when they were primary school age (11 and under)","No","15%"
" Overall cost","Not important","In care when they were primary school age (11 and under)","No","8%"
" Overall cost","Important","In care when they were primary school age (11 and under)","Yes","75%"
" Overall cost","Neutral","In care when they were primary school age (11 and under)","Yes","16%"
" Overall cost","Not important","In care when they were primary school age (11 and under)","Yes","9%"
" Value for money","Important","In care when they were primary school age (11 and under)","No","75%"
" Value for money","Neutral","In care when they were primary school age (11 and under)","No","15%"
" Value for money","Not important","In care when they were primary school age (11 and under)","No","10%"
" Value for money","Important","In care when they were primary school age (11 and under)","Yes","79%"
" Value for money","Neutral","In care when they were primary school age (11 and under)","Yes","12%"
" Value for money","Not important","In care when they were primary school age (11 and under)","Yes","9%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Important","In care when they were primary school age (11 and under)","No","42%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Neutral","In care when they were primary school age (11 and under)","No","23%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Not important","In care when they were primary school age (11 and under)","No","35%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Important","In care when they were primary school age (11 and under)","Yes","41%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Neutral","In care when they were primary school age (11 and under)","Yes","28%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Not important","In care when they were primary school age (11 and under)","Yes","31%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Important","In care when they were primary school age (11 and under)","No","70%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Neutral","In care when they were primary school age (11 and under)","No","21%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Not important","In care when they were primary school age (11 and under)","No","9%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Important","In care when they were primary school age (11 and under)","Yes","76%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Neutral","In care when they were primary school age (11 and under)","Yes","17%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Not important","In care when they were primary school age (11 and under)","Yes","7%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Important","In care when they were primary school age (11 and under)","No","65%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Neutral","In care when they were primary school age (11 and under)","No","23%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Not important","In care when they were primary school age (11 and under)","No","12%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Important","In care when they were primary school age (11 and under)","Yes","69%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Neutral","In care when they were primary school age (11 and under)","Yes","23%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Not important","In care when they were primary school age (11 and under)","Yes","9%"
" Facilities (e.g. WiFi, parking, gym)","Important","In care when they were primary school age (11 and under)","No","73%"
" Facilities (e.g. WiFi, parking, gym)","Neutral","In care when they were primary school age (11 and under)","No","18%"
" Facilities (e.g. WiFi, parking, gym)","Not important","In care when they were primary school age (11 and under)","No","9%"
" Facilities (e.g. WiFi, parking, gym)","Important","In care when they were primary school age (11 and under)","Yes","75%"
" Facilities (e.g. WiFi, parking, gym)","Neutral","In care when they were primary school age (11 and under)","Yes","18%"
" Facilities (e.g. WiFi, parking, gym)","Not important","In care when they were primary school age (11 and under)","Yes","7%"
" Bills included","Important","In care when they were primary school age (11 and under)","No","75%"
" Bills included","Neutral","In care when they were primary school age (11 and under)","No","15%"
" Bills included","Not important","In care when they were primary school age (11 and under)","No","10%"
" Bills included","Important","In care when they were primary school age (11 and under)","Yes","72%"
" Bills included","Neutral","In care when they were primary school age (11 and under)","Yes","17%"
" Bills included","Not important","In care when they were primary school age (11 and under)","Yes","11%"
" Social scene (e.g. events on-site)","Important","In care when they were primary school age (11 and under)","No","39%"
" Social scene (e.g. events on-site)","Neutral","In care when they were primary school age (11 and under)","No","29%"
" Social scene (e.g. events on-site)","Not important","In care when they were primary school age (11 and under)","No","33%"
" Social scene (e.g. events on-site)","Important","In care when they were primary school age (11 and under)","Yes","42%"
" Social scene (e.g. events on-site)","Neutral","In care when they were primary school age (11 and under)","Yes","34%"
" Social scene (e.g. events on-site)","Not important","In care when they were primary school age (11 and under)","Yes","24%"
" Studious atmosphere","Important","In care when they were primary school age (11 and under)","No","54%"
" Studious atmosphere","Neutral","In care when they were primary school age (11 and under)","No","27%"
" Studious atmosphere","Not important","In care when they were primary school age (11 and under)","No","19%"
" Studious atmosphere","Important","In care when they were primary school age (11 and under)","Yes","52%"
" Studious atmosphere","Neutral","In care when they were primary school age (11 and under)","Yes","31%"
" Studious atmosphere","Not important","In care when they were primary school age (11 and under)","Yes","17%"
" Access to outdoor space (e.g. garden, common areas)","Important","In care when they were primary school age (11 and under)","No","51%"
" Access to outdoor space (e.g. garden, common areas)","Neutral","In care when they were primary school age (11 and under)","No","33%"
" Access to outdoor space (e.g. garden, common areas)","Not important","In care when they were primary school age (11 and under)","No","17%"
" Access to outdoor space (e.g. garden, common areas)","Important","In care when they were primary school age (11 and under)","Yes","48%"
" Access to outdoor space (e.g. garden, common areas)","Neutral","In care when they were primary school age (11 and under)","Yes","32%"
" Access to outdoor space (e.g. garden, common areas)","Not important","In care when they were primary school age (11 and under)","Yes","20%"
" Option to live in the same property for more than one academic year","Important","In care when they were primary school age (11 and under)","No","33%"
" Option to live in the same property for more than one academic year","Neutral","In care when they were primary school age (11 and under)","No","32%"
" Option to live in the same property for more than one academic year","Not important","In care when they were primary school age (11 and under)","No","35%"
" Option to live in the same property for more than one academic year","Important","In care when they were primary school age (11 and under)","Yes","34%"
" Option to live in the same property for more than one academic year","Neutral","In care when they were primary school age (11 and under)","Yes","22%"
" Option to live in the same property for more than one academic year","Not important","In care when they were primary school age (11 and under)","Yes","45%"
" Reviews of the accommodation","Important","In care when they were primary school age (11 and under)","No","56%"
" Reviews of the accommodation","Neutral","In care when they were primary school age (11 and under)","No","25%"
" Reviews of the accommodation","Not important","In care when they were primary school age (11 and under)","No","20%"
" Reviews of the accommodation","Important","In care when they were primary school age (11 and under)","Yes","56%"
" Reviews of the accommodation","Neutral","In care when they were primary school age (11 and under)","Yes","24%"
" Reviews of the accommodation","Not important","In care when they were primary school age (11 and under)","Yes","19%"
" Availability of a fully catered option","Important","In care when they were primary school age (11 and under)","No","22%"
" Availability of a fully catered option","Neutral","In care when they were primary school age (11 and under)","No","19%"
" Availability of a fully catered option","Not important","In care when they were primary school age (11 and under)","No","59%"
" Availability of a fully catered option","Important","In care when they were primary school age (11 and under)","Yes","18%"
" Availability of a fully catered option","Neutral","In care when they were primary school age (11 and under)","Yes","22%"
" Availability of a fully catered option","Not important","In care when they were primary school age (11 and under)","Yes","61%"
" Living with other first year students","Important","In care when they were primary school age (11 and under)","No","40%"
" Living with other first year students","Neutral","In care when they were primary school age (11 and under)","No","30%"
" Living with other first year students","Not important","In care when they were primary school age (11 and under)","No","30%"
" Living with other first year students","Important","In care when they were primary school age (11 and under)","Yes","47%"
" Living with other first year students","Neutral","In care when they were primary school age (11 and under)","Yes","22%"
" Living with other first year students","Not important","In care when they were primary school age (11 and under)","Yes","30%"
" Guarantor requirement was waived","Important","In care when they were between the ages of 11 and 16","No","24%"
" Guarantor requirement was waived","Neutral","In care when they were between the ages of 11 and 16","No","26%"
" Guarantor requirement was waived","Not important","In care when they were between the ages of 11 and 16","No","50%"
" Guarantor requirement was waived","Important","In care when they were between the ages of 11 and 16","Yes","28%"
" Guarantor requirement was waived","Neutral","In care when they were between the ages of 11 and 16","Yes","22%"
" Guarantor requirement was waived","Not important","In care when they were between the ages of 11 and 16","Yes","50%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Important","In care when they were between the ages of 11 and 16","No","28%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Neutral","In care when they were between the ages of 11 and 16","No","19%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Not important","In care when they were between the ages of 11 and 16","No","53%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Important","In care when they were between the ages of 11 and 16","Yes","27%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Neutral","In care when they were between the ages of 11 and 16","Yes","27%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Not important","In care when they were between the ages of 11 and 16","Yes","46%"
" Overall cost","Important","In care when they were between the ages of 11 and 16","No","75%"
" Overall cost","Neutral","In care when they were between the ages of 11 and 16","No","14%"
" Overall cost","Not important","In care when they were between the ages of 11 and 16","No","11%"
" Overall cost","Important","In care when they were between the ages of 11 and 16","Yes","77%"
" Overall cost","Neutral","In care when they were between the ages of 11 and 16","Yes","16%"
" Overall cost","Not important","In care when they were between the ages of 11 and 16","Yes","7%"
" Value for money","Important","In care when they were between the ages of 11 and 16","No","77%"
" Value for money","Neutral","In care when they were between the ages of 11 and 16","No","11%"
" Value for money","Not important","In care when they were between the ages of 11 and 16","No","12%"
