"------------------------------------------------------------------","","","",""
" Value for money","Important","In care when they were between the ages of 11 and 16","Yes","77%"
" Value for money","Neutral","In care when they were between the ages of 11 and 16","Yes","15%"
" Value for money","Not important","In care when they were between the ages of 11 and 16","Yes","8%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Important","In care when they were between the ages of 11 and 16","No","44%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Neutral","In care when they were between the ages of 11 and 16","No","25%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Not important","In care when they were between the ages of 11 and 16","No","31%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Important","In care when they were between the ages of 11 and 16","Yes","39%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Neutral","In care when they were between the ages of 11 and 16","Yes","26%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Not important","In care when they were between the ages of 11 and 16","Yes","34%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Important","In care when they were between the ages of 11 and 16","No","73%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Neutral","In care when they were between the ages of 11 and 16","No","18%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Not important","In care when they were between the ages of 11 and 16","No","9%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Important","In care when they were between the ages of 11 and 16","Yes","73%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Neutral","In care when they were between the ages of 11 and 16","Yes","20%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Not important","In care when they were between the ages of 11 and 16","Yes","8%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Important","In care when they were between the ages of 11 and 16","No","72%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Neutral","In care when they were between the ages of 11 and 16","No","18%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Not important","In care when they were between the ages of 11 and 16","No","10%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Important","In care when they were between the ages of 11 and 16","Yes","62%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Neutral","In care when they were between the ages of 11 and 16","Yes","27%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Not important","In care when they were between the ages of 11 and 16","Yes","11%"
" Facilities (e.g. WiFi, parking, gym)","Important","In care when they were between the ages of 11 and 16","No","75%"
" Facilities (e.g. WiFi, parking, gym)","Neutral","In care when they were between the ages of 11 and 16","No","18%"
" Facilities (e.g. WiFi, parking, gym)","Not important","In care when they were between the ages of 11 and 16","No","7%"
" Facilities (e.g. WiFi, parking, gym)","Important","In care when they were between the ages of 11 and 16","Yes","73%"
" Facilities (e.g. WiFi, parking, gym)","Neutral","In care when they were between the ages of 11 and 16","Yes","18%"
" Facilities (e.g. WiFi, parking, gym)","Not important","In care when they were between the ages of 11 and 16","Yes","9%"
" Bills included","Important","In care when they were between the ages of 11 and 16","No","72%"
" Bills included","Neutral","In care when they were between the ages of 11 and 16","No","14%"
" Bills included","Not important","In care when they were between the ages of 11 and 16","No","13%"
" Bills included","Important","In care when they were between the ages of 11 and 16","Yes","74%"
" Bills included","Neutral","In care when they were between the ages of 11 and 16","Yes","18%"
" Bills included","Not important","In care when they were between the ages of 11 and 16","Yes","8%"
" Social scene (e.g. events on-site)","Important","In care when they were between the ages of 11 and 16","No","46%"
" Social scene (e.g. events on-site)","Neutral","In care when they were between the ages of 11 and 16","No","30%"
" Social scene (e.g. events on-site)","Not important","In care when they were between the ages of 11 and 16","No","24%"
" Social scene (e.g. events on-site)","Important","In care when they were between the ages of 11 and 16","Yes","36%"
" Social scene (e.g. events on-site)","Neutral","In care when they were between the ages of 11 and 16","Yes","33%"
" Social scene (e.g. events on-site)","Not important","In care when they were between the ages of 11 and 16","Yes","31%"
" Studious atmosphere","Important","In care when they were between the ages of 11 and 16","No","54%"
" Studious atmosphere","Neutral","In care when they were between the ages of 11 and 16","No","28%"
" Studious atmosphere","Not important","In care when they were between the ages of 11 and 16","No","18%"
" Studious atmosphere","Important","In care when they were between the ages of 11 and 16","Yes","51%"
" Studious atmosphere","Neutral","In care when they were between the ages of 11 and 16","Yes","31%"
" Studious atmosphere","Not important","In care when they were between the ages of 11 and 16","Yes","18%"
" Access to outdoor space (e.g. garden, common areas)","Important","In care when they were between the ages of 11 and 16","No","55%"
" Access to outdoor space (e.g. garden, common areas)","Neutral","In care when they were between the ages of 11 and 16","No","26%"
" Access to outdoor space (e.g. garden, common areas)","Not important","In care when they were between the ages of 11 and 16","No","18%"
" Access to outdoor space (e.g. garden, common areas)","Important","In care when they were between the ages of 11 and 16","Yes","44%"
" Access to outdoor space (e.g. garden, common areas)","Neutral","In care when they were between the ages of 11 and 16","Yes","37%"
" Access to outdoor space (e.g. garden, common areas)","Not important","In care when they were between the ages of 11 and 16","Yes","19%"
" Option to live in the same property for more than one academic year","Important","In care when they were between the ages of 11 and 16","No","36%"
" Option to live in the same property for more than one academic year","Neutral","In care when they were between the ages of 11 and 16","No","22%"
" Option to live in the same property for more than one academic year","Not important","In care when they were between the ages of 11 and 16","No","42%"
" Option to live in the same property for more than one academic year","Important","In care when they were between the ages of 11 and 16","Yes","31%"
" Option to live in the same property for more than one academic year","Neutral","In care when they were between the ages of 11 and 16","Yes","30%"
" Option to live in the same property for more than one academic year","Not important","In care when they were between the ages of 11 and 16","Yes","38%"
" Reviews of the accommodation","Important","In care when they were between the ages of 11 and 16","No","57%"
" Reviews of the accommodation","Neutral","In care when they were between the ages of 11 and 16","No","24%"
" Reviews of the accommodation","Not important","In care when they were between the ages of 11 and 16","No","19%"
" Reviews of the accommodation","Important","In care when they were between the ages of 11 and 16","Yes","55%"
" Reviews of the accommodation","Neutral","In care when they were between the ages of 11 and 16","Yes","25%"
" Reviews of the accommodation","Not important","In care when they were between the ages of 11 and 16","Yes","20%"
" Availability of a fully catered option","Important","In care when they were between the ages of 11 and 16","No","22%"
" Availability of a fully catered option","Neutral","In care when they were between the ages of 11 and 16","No","24%"
" Availability of a fully catered option","Not important","In care when they were between the ages of 11 and 16","No","54%"
" Availability of a fully catered option","Important","In care when they were between the ages of 11 and 16","Yes","18%"
" Availability of a fully catered option","Neutral","In care when they were between the ages of 11 and 16","Yes","17%"
" Availability of a fully catered option","Not important","In care when they were between the ages of 11 and 16","Yes","65%"
" Living with other first year students","Important","In care when they were between the ages of 11 and 16","No","49%"
" Living with other first year students","Neutral","In care when they were between the ages of 11 and 16","No","18%"
" Living with other first year students","Not important","In care when they were between the ages of 11 and 16","No","34%"
" Living with other first year students","Important","In care when they were between the ages of 11 and 16","Yes","40%"
" Living with other first year students","Neutral","In care when they were between the ages of 11 and 16","Yes","33%"
" Living with other first year students","Not important","In care when they were between the ages of 11 and 16","Yes","28%"
" Guarantor requirement was waived","Important","In care when they were 17 and/or 18","No","27%"
" Guarantor requirement was waived","Neutral","In care when they were 17 and/or 18","No","23%"
" Guarantor requirement was waived","Not important","In care when they were 17 and/or 18","No","50%"
" Guarantor requirement was waived","Important","In care when they were 17 and/or 18","Yes","25%"
" Guarantor requirement was waived","Neutral","In care when they were 17 and/or 18","Yes","25%"
" Guarantor requirement was waived","Not important","In care when they were 17 and/or 18","Yes","50%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Important","In care when they were 17 and/or 18","No","26%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Neutral","In care when they were 17 and/or 18","No","20%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Not important","In care when they were 17 and/or 18","No","54%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Important","In care when they were 17 and/or 18","Yes","30%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Neutral","In care when they were 17 and/or 18","Yes","28%"
" Deposit was waived, or covered by the university or a bursary/scholarship","Not important","In care when they were 17 and/or 18","Yes","42%"
" Overall cost","Important","In care when they were 17 and/or 18","No","76%"
" Overall cost","Neutral","In care when they were 17 and/or 18","No","14%"
" Overall cost","Not important","In care when they were 17 and/or 18","No","9%"
" Overall cost","Important","In care when they were 17 and/or 18","Yes","75%"
" Overall cost","Neutral","In care when they were 17 and/or 18","Yes","17%"
" Overall cost","Not important","In care when they were 17 and/or 18","Yes","8%"
" Value for money","Important","In care when they were 17 and/or 18","No","80%"
" Value for money","Neutral","In care when they were 17 and/or 18","No","10%"
" Value for money","Not important","In care when they were 17 and/or 18","No","9%"
" Value for money","Important","In care when they were 17 and/or 18","Yes","73%"
" Value for money","Neutral","In care when they were 17 and/or 18","Yes","18%"
" Value for money","Not important","In care when they were 17 and/or 18","Yes","10%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Important","In care when they were 17 and/or 18","No","43%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Neutral","In care when they were 17 and/or 18","No","26%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Not important","In care when they were 17 and/or 18","No","31%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Important","In care when they were 17 and/or 18","Yes","40%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Neutral","In care when they were 17 and/or 18","Yes","26%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Not important","In care when they were 17 and/or 18","Yes","34%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Important","In care when they were 17 and/or 18","No","73%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Neutral","In care when they were 17 and/or 18","No","18%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Not important","In care when they were 17 and/or 18","No","8%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Important","In care when they were 17 and/or 18","Yes","73%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Neutral","In care when they were 17 and/or 18","Yes","19%"
" Quality of accommodation (e.g. condition of the overall property, hallways, common areas)","Not important","In care when they were 17 and/or 18","Yes","8%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Important","In care when they were 17 and/or 18","No","70%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Neutral","In care when they were 17 and/or 18","No","20%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Not important","In care when they were 17 and/or 18","No","10%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Important","In care when they were 17 and/or 18","Yes","63%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Neutral","In care when they were 17 and/or 18","Yes","27%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Not important","In care when they were 17 and/or 18","Yes","11%"
" Facilities (e.g. WiFi, parking, gym)","Important","In care when they were 17 and/or 18","No","76%"
" Facilities (e.g. WiFi, parking, gym)","Neutral","In care when they were 17 and/or 18","No","17%"
" Facilities (e.g. WiFi, parking, gym)","Not important","In care when they were 17 and/or 18","No","8%"
" Facilities (e.g. WiFi, parking, gym)","Important","In care when they were 17 and/or 18","Yes","72%"
" Facilities (e.g. WiFi, parking, gym)","Neutral","In care when they were 17 and/or 18","Yes","20%"
" Facilities (e.g. WiFi, parking, gym)","Not important","In care when they were 17 and/or 18","Yes","8%"
" Bills included","Important","In care when they were 17 and/or 18","No","73%"
" Bills included","Neutral","In care when they were 17 and/or 18","No","15%"
" Bills included","Not important","In care when they were 17 and/or 18","No","12%"
" Bills included","Important","In care when they were 17 and/or 18","Yes","74%"
" Bills included","Neutral","In care when they were 17 and/or 18","Yes","18%"
" Bills included","Not important","In care when they were 17 and/or 18","Yes","8%"
" Social scene (e.g. events on-site)","Important","In care when they were 17 and/or 18","No","45%"
" Social scene (e.g. events on-site)","Neutral","In care when they were 17 and/or 18","No","29%"
" Social scene (e.g. events on-site)","Not important","In care when they were 17 and/or 18","No","26%"
" Social scene (e.g. events on-site)","Important","In care when they were 17 and/or 18","Yes","34%"
" Social scene (e.g. events on-site)","Neutral","In care when they were 17 and/or 18","Yes","35%"
" Social scene (e.g. events on-site)","Not important","In care when they were 17 and/or 18","Yes","31%"
" Studious atmosphere","Important","In care when they were 17 and/or 18","No","57%"
" Studious atmosphere","Neutral","In care when they were 17 and/or 18","No","28%"
" Studious atmosphere","Not important","In care when they were 17 and/or 18","No","15%"
" Studious atmosphere","Important","In care when they were 17 and/or 18","Yes","46%"
" Studious atmosphere","Neutral","In care when they were 17 and/or 18","Yes","32%"
" Studious atmosphere","Not important","In care when they were 17 and/or 18","Yes","22%"
" Access to outdoor space (e.g. garden, common areas)","Important","In care when they were 17 and/or 18","No","52%"
" Access to outdoor space (e.g. garden, common areas)","Neutral","In care when they were 17 and/or 18","No","29%"
" Access to outdoor space (e.g. garden, common areas)","Not important","In care when they were 17 and/or 18","No","19%"
" Access to outdoor space (e.g. garden, common areas)","Important","In care when they were 17 and/or 18","Yes","46%"
" Access to outdoor space (e.g. garden, common areas)","Neutral","In care when they were 17 and/or 18","Yes","36%"
" Access to outdoor space (e.g. garden, common areas)","Not important","In care when they were 17 and/or 18","Yes","18%"
" Option to live in the same property for more than one academic year","Important","In care when they were 17 and/or 18","No","35%"
" Option to live in the same property for more than one academic year","Neutral","In care when they were 17 and/or 18","No","23%"
" Option to live in the same property for more than one academic year","Not important","In care when they were 17 and/or 18","No","42%"
" Option to live in the same property for more than one academic year","Important","In care when they were 17 and/or 18","Yes","32%"
" Option to live in the same property for more than one academic year","Neutral","In care when they were 17 and/or 18","Yes","31%"
" Option to live in the same property for more than one academic year","Not important","In care when they were 17 and/or 18","Yes","37%"
" Reviews of the accommodation","Important","In care when they were 17 and/or 18","No","58%"
" Reviews of the accommodation","Neutral","In care when they were 17 and/or 18","No","21%"
" Reviews of the accommodation","Not important","In care when they were 17 and/or 18","No","21%"
" Reviews of the accommodation","Important","In care when they were 17 and/or 18","Yes","53%"
" Reviews of the accommodation","Neutral","In care when they were 17 and/or 18","Yes","30%"
" Reviews of the accommodation","Not important","In care when they were 17 and/or 18","Yes","17%"
" Availability of a fully catered option","Important","In care when they were 17 and/or 18","No","21%"
" Availability of a fully catered option","Neutral","In care when they were 17 and/or 18","No","21%"
" Availability of a fully catered option","Not important","In care when they were 17 and/or 18","No","58%"
" Availability of a fully catered option","Important","In care when they were 17 and/or 18","Yes","18%"
" Availability of a fully catered option","Neutral","In care when they were 17 and/or 18","Yes","19%"
" Availability of a fully catered option","Not important","In care when they were 17 and/or 18","Yes","63%"
" Living with other first year students","Important","In care when they were 17 and/or 18","No","49%"
" Living with other first year students","Neutral","In care when they were 17 and/or 18","No","23%"
" Living with other first year students","Not important","In care when they were 17 and/or 18","No","28%"
" Living with other first year students","Important","In care when they were 17 and/or 18","Yes","37%"
" Living with other first year students","Neutral","In care when they were 17 and/or 18","Yes","30%"
" Living with other first year students","Not important","In care when they were 17 and/or 18","Yes","34%"
